,document_id,id,last_visit_time,title,url,uuid
0,e90fca64-27b0-46ab-91cf-2ed80f2c6887,68,1680343167412.81,murawaki's project,https://scrapbox.io/murawaki/,2d260c70-f12b-47e2-a1f3-7f4eba44d7bf
1,5416cf99-3a18-44a6-bc8e-625d629a5a14,78531,1680343196389.84,就職活動 2022 - murawaki's project,https://scrapbox.io/murawaki/%E5%B0%B1%E8%81%B7%E6%B4%BB%E5%8B%95_2022,bfa0c18d-2879-4122-8af7-3200c32c2436
2,4c77693b-7d4a-4bb8-867a-fb6f18c43767,87468,1680404565703.72,pythonでsqlを使う - murawaki's project,https://scrapbox.io/murawaki/python%E3%81%A7sql%E3%82%92%E4%BD%BF%E3%81%86,13ce201d-fe93-4436-9f34-8b9d2de9069a
3,3dc262b8-b87e-4045-8dfd-7ca344961c24,90078,1680431474880.17,SFC 2023 春 - murawaki's project,https://scrapbox.io/murawaki/SFC_2023_%E6%98%A5,40e76f91-ef1e-4383-b35f-ee38245b4ff2
4,1bdd3f3c-e932-4c44-b12b-5d601f50e65b,90085,1680432375166.37,小熊研 文献「ジェンダー・レジーム」と「量的研究」 - murawaki's project,https://scrapbox.io/murawaki/%E5%B0%8F%E7%86%8A%E7%A0%94_%E6%96%87%E7%8C%AE%E3%80%8C%E3%82%B8%E3%82%A7%E3%83%B3%E3%83%80%E3%83%BC%E3%83%BB%E3%83%AC%E3%82%B8%E3%83%BC%E3%83%A0%E3%80%8D%E3%81%A8%E3%80%8C%E9%87%8F%E7%9A%84%E7%A0%94%E7%A9%B6%E3%80%8D,cdc46abe-4760-4013-b7d1-e9932f619e05
5,b69067d9-db0d-4ee7-86bb-05b12c58646e,92967,1680431467783.98,Scrapbox,https://scrapbox.io/murawaki/%E3%83%A6%E3%83%BC%E3%82%B6%E7%8B%AC%E8%87%AA%E3%81%AE%E6%96%87%E8%84%88%E3%82%92%E5%9F%8B%E3%82%81%E8%BE%BC%E3%82%93%E3%81%A7%E6%95%B4%E7%90%86%E3%83%BB%E6%A4%9C%E7%B4%A2%E3%81%8C%E3%81%A7%E3%81%8D%E3%82%8B%E6%96%87%E6%9B%B8%E7%AE%A1%E7%90%86%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0,c26b237f-de9e-441b-86fd-95f24ebed0fb
6,4dd8e420-54c4-4e30-ae63-1086f4799a09,93073,1680228480053.2,mrwk-space,https://scrapbox.io/mrwk-space/,fa21d098-404e-45f3-9ef7-ef0168dd36de
7,7f29bc16-6361-4d3c-8b5f-81d8eee9e71a,93533,1680178291328.19,文脈情報の収集・保存機能 - murawaki's project,https://scrapbox.io/murawaki/%E6%96%87%E8%84%88%E6%83%85%E5%A0%B1%E3%81%AE%E5%8F%8E%E9%9B%86%E3%83%BB%E4%BF%9D%E5%AD%98%E6%A9%9F%E8%83%BD,58c6bd75-5846-4221-b2ba-6b708f873e56
8,1ee98da3-44cb-4283-8bee-666c36f294c9,95090,1680149176620.95,mermaid記法UserScript - murawaki's project,https://scrapbox.io/murawaki/mermaid%E8%A8%98%E6%B3%95UserScript,2b8529ea-f1c9-4206-a7a6-ba2b01de0a95
9,d8176631-cd1b-427c-b411-c13ee150af21,96700,1680194267352.58,pandas - murawaki's project,https://scrapbox.io/murawaki/pandas,00ff3c85-553b-424a-8e7c-f5bb016b5ea7
10,a1027b8b-f9c0-493a-a696-dc3b0a6e8673,97493,1680404525342.81,postgrest - murawaki's project,https://scrapbox.io/murawaki/postgrest,61817873-edc2-4965-b5b8-911f6143c756
11,c46f7f7b-146c-46dd-ab17-732073ef8885,97522,1680404538111.27,pythonからpostgrestを叩く - murawaki's project,https://scrapbox.io/murawaki/python%E3%81%8B%E3%82%89postgrest%E3%82%92%E5%8F%A9%E3%81%8F,f33ff35f-3936-42aa-9e72-976c6ff636ec
12,9688ce33-3b7d-4b9f-b83b-dbe75a90d1f2,97523,1680404515666.28,PostagreSQL - murawaki's project,https://scrapbox.io/murawaki/PostagreSQL,9fc75bf4-3365-45bf-b6ce-710044928607
